gov_level,fiscal_year,sector,amount_crore,description
union,2016-17,other,173.95,NER Livelihood (EAP) Project (NERLP) -
union,2016-17,other,173.95,NER Livelihood (EAP) Project (NERLP) -
union,2016-17,other,173.1,Trade Facilitation Centre and Crafts Museum
union,2016-17,other,173.02,Postal Operation
union,2016-17,other,170.0,North Eastern Industrial and Investment Promotion Policy (NEIPP)
union,2016-17,other,170.0,North Eastern Industrial and Investment Promotion Policy (NEIPP)
union,2016-17,energy,169.95,Assistance to Disabled Persons for Purchase/Fitting of Aids and Applicances
union,2016-17,energy,169.95,Assistance to Disabled Persons for Purchase/Fitting of Aids and Applicances
union,2016-17,other,169.22,Sagarmala
union,2016-17,other,163.78,Scheme for Investment Promotion
union,2016-17,other,163.78,Scheme for Investment Promotion
union,2016-17,other,156.4,National Handloom Development Programme
union,2016-17,other,151.43,Capacity Development (CD)
union,2016-17,other,150.41,Tea Board
union,2016-17,other,150.41,Tea Board
union,2016-17,other,150.11,National Handloom Development Programme
union,2016-17,infrastructure,150.0,North East Road Sector Development Scheme
union,2016-17,infrastructure,150.0,Investment in ECGC (Export Credit Guarantee Corporation)
union,2016-17,infrastructure,150.0,North East Road Sector Development Scheme
union,2016-17,infrastructure,150.0,Investment in ECGC (Export Credit Guarantee Corporation)
union,2016-17,other,148.75,Rubber Board
union,2016-17,other,148.75,Rubber Board
union,2016-17,urban_services,148.31,North Eastern Regional Urban Development Project (NERUDP)
union,2016-17,urban_services,148.31,North Eastern Regional Urban Development Project (NERUDP)
union,2016-17,infrastructure,145.69,Market Intervention Scheme and Price Support Scheme (MIS-PSS)
union,2016-17,infrastructure,145.69,Market Intervention Scheme and Price Support Scheme (MIS-PSS)
union,2016-17,education,145.24,National Mission in Education Through ICT
union,2016-17,education,145.24,National Mission in Education Through ICT
union,2016-17,education,144.8,Grants to other Institutions
union,2016-17,education,144.8,Grants to other Institutions
union,2016-17,energy,144.0,Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).
union,2016-17,energy,144.0,Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).
union,2016-17,other,140.74,Coffee Board
union,2016-17,other,140.74,Coffee Board
union,2016-17,education,140.38,Other Electrical Works
union,2016-17,education,140.38,Other Electrical Works
union,2016-17,infrastructure,139.01,Development of Minor Ports
union,2016-17,other,138.53,Land Records Modernization Programme
union,2016-17,other,138.53,Land Records Modernization Programme
union,2016-17,other,135.0,Credit Guarantee Fund for Factoring (through NCGTC)
union,2016-17,other,135.0,Credit Guarantee Fund for Factoring (through NCGTC)
union,2016-17,other,132.98,Heavy and Medium Vehicles - Air Force
union,2016-17,other,132.98,Heavy and Medium Vehicles - Air Force
union,2016-17,education,132.72,Promotional Services Institutions and Programme
union,2016-17,education,132.72,Promotional Services Institutions and Programme
union,2016-17,other,132.26,Viability Gap Funding
union,2016-17,other,130.61,National Service Scheme
union,2016-17,other,130.61,National Service Scheme
union,2016-17,other,130.26,Industrial Infrastructure Upgradation Scheme (IIUS)
union,2016-17,other,130.26,Industrial Infrastructure Upgradation Scheme (IIUS)
union,2016-17,other,128.75,Capacity Development (CD)
union,2016-17,other,127.83,Land - Navy
union,2016-17,other,127.83,Land - Navy
union,2016-17,education,127.48,National Institutes of Pharmaceutical Education and Research (NIPERs)
union,2016-17,education,127.48,National Institutes of Pharmaceutical Education and Research (NIPERs)
union,2016-17,education,127.23,"Research, Training and Studies"
union,2016-17,education,127.17,Housing Projects
union,2016-17,education,127.17,Housing Projects
union,2016-17,education,125.57,Atal Innovation Mission(AIM) including Self Employment and Talent Utilization (SETU)
union,2016-17,education,125.57,Atal Innovation Mission(AIM) including Self Employment and Talent Utilization (SETU)
union,2016-17,energy,125.55,Exploration of Coal and Lignite
union,2016-17,energy,125.55,Exploration of Coal and Lignite
union,2016-17,other,125.14,Interest Subsidy to LIC for Pension Plan for Senior Citizens
union,2016-17,other,125.14,Interest Subsidy to LIC for Pension Plan for Senior Citizens
union,2016-17,other,123.62,Myanmar
union,2016-17,other,123.62,Myanmar
union,2016-17,education,123.28,"International Relations -International Co-operation including Investment Promotion and Assistance to International Solar Alliance - Research, Development and International Cooperation"
union,2016-17,education,123.28,"International Relations -International Co-operation including Investment Promotion and Assistance to International Solar Alliance - Research, Development and International Cooperation"
union,2016-17,other,122.46,Space Sciences
union,2016-17,education,120.33,Nuclear Fuel Projects
union,2016-17,education,120.33,Nuclear Fuel Projects
union,2016-17,education,119.14,"Research, Training and Studies"
union,2016-17,other,118.09,Khelo India
union,2016-17,other,118.09,Khelo India
union,2016-17,other,116.53,Rashtriya Rifles - Army
union,2016-17,other,116.53,Rashtriya Rifles - Army
union,2016-17,other,116.0,R and D in IT/Electronics/CCBT
union,2016-17,other,116.0,R and D in IT/Electronics/CCBT
union,2016-17,other,114.74,Polar Science and Cryosphere (PACER)
union,2016-17,other,114.74,Polar Science and Cryosphere (PACER)
union,2016-17,other,113.77,Other Developing Countries
union,2016-17,other,113.77,Other Developing Countries
union,2016-17,urban_services,112.25,Ground Water Management and Regulation
union,2016-17,education,112.0,Small Hydro Power - Grid Interactive Renewable Power
union,2016-17,education,112.0,Small Hydro Power - Grid Interactive Renewable Power
union,2016-17,education,109.78,Technical Education Quality Improvement Programme of Government of India (EAP)
union,2016-17,education,109.78,Technical Education Quality Improvement Programme of Government of India (EAP)
union,2016-17,other,109.32,Refund of Service Tax Paid under Varishta Pension Bima Yojana (VPBY)-2014
union,2016-17,other,109.32,Refund of Service Tax Paid under Varishta Pension Bima Yojana (VPBY)-2014
union,2016-17,other,108.76,Public Financial Management System (PFMS)
