gov_level,dataset,pdf_source,fiscal_year,estimate_type,component,amount_crore,sector,demand_no,ministry,department,category,description
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,7500.0,education,81.0,Department of Higher Education,,,National Highways Authority of India
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,7225.79,other,14.0,Department of Telecommunications,,,Compensation to Service Providers for creation and augmentation of telecom infrastructure
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,7225.79,other,14.0,Department of Telecommunications,,,Compensation to Service Providers for creation and augmentation of telecom infrastructure
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,7137.8,education,80.0,Department of Higher Education,,,Investment in Non Governent Undertakings Including Joint Venture/Special Purpose Vehicle
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,7137.8,education,80.0,Department of Higher Education,,,Investment in Non Governent Undertakings Including Joint Venture/Special Purpose Vehicle
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,6999.99,education,80.0,Department of Higher Education,,,Leased assets - Payment of Capital Component
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,6999.99,education,80.0,Department of Higher Education,,,Leased assets - Payment of Capital Component
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,6899.98,other,15.0,Department of Consumer Affairs,,,Price Stabilisation Fund
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,6899.98,other,15.0,Department of Consumer Affairs,,,Price Stabilisation Fund
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,6771.5,other,21.0,Department of Food and Public Distribution,,,Research  and Development
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,6771.5,other,21.0,Department of Food and Public Distribution,,,Research  and Development
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,6397.96,education,80.0,Department of Higher Education,,,Track Renewals
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,6397.96,education,80.0,Department of Higher Education,,,Track Renewals
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,5780.63,other,21.0,Department of Food and Public Distribution,,,Construction Works - Army
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,5780.63,other,21.0,Department of Food and Public Distribution,,,Construction Works - Army
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,5418.32,education,80.0,Department of Higher Education,,,Rolling Stock
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,5418.32,education,80.0,Department of Higher Education,,,Rolling Stock
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,4600.06,other,91.0,Department of Space,,,Space Technology
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,4500.0,other,16.0,Department of Food and Public Distribution,,,Sugar Subsidy payable under Public Distribution System
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,4500.0,other,16.0,Department of Food and Public Distribution,,,Sugar Subsidy payable under Public Distribution System
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,4366.28,education,74.0,Department of Higher Education,,,Integrated Power Development Scheme
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,4025.0,education,60.0,Department of Higher Education,,,"Employees Pension Scheme, 1995"
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,4025.0,education,60.0,Department of Higher Education,,,"Employees Pension Scheme, 1995"
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,3533.35,education,80.0,Department of Higher Education,,,Gauge Conversion
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,3533.35,education,80.0,Department of Higher Education,,,Gauge Conversion
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,3499.5,other,92.0,Department of Space,,,Member of Parliament Local Area Development Scheme (MPLAD)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,3499.5,other,92.0,Department of Space,,,Member of Parliament Local Area Development Scheme (MPLAD)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,3441.48,other,28.0,Department of Food and Public Distribution,,,Bhutan
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,3358.33,other,21.0,Department of Food and Public Distribution,,,Other equipment - Navy
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,3358.33,other,21.0,Department of Food and Public Distribution,,,Other equipment - Navy
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,3210.0,security,14.0,Department of Telecommunications,,,Optical Fibre Cable based network for Defence Services
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,3210.0,security,14.0,Department of Telecommunications,,,Optical Fibre Cable based network for Defence Services
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,3202.17,education,80.0,Department of Higher Education,,,Road Safety Works - Road Over/Under Bridges
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,3202.17,education,80.0,Department of Higher Education,,,Road Safety Works - Road Over/Under Bridges
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,3178.0,education,72.0,Department of Higher Education,,,Other subsidy payable including for North Eastern Region
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,3178.0,education,72.0,Department of Higher Education,,,Other subsidy payable including for North Eastern Region
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,2974.06,other,21.0,Department of Food and Public Distribution,,,Aircrafts and Aeroengines - Navy
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,2974.06,other,21.0,Department of Food and Public Distribution,,,Aircrafts and Aeroengines - Navy
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,2965.87,education,74.0,Department of Higher Education,,,Deen Dayal Upadhyaya Gram Jyoti Yojna
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,2965.87,education,74.0,Department of Higher Education,,,Deen Dayal Upadhyaya Gram Jyoti Yojna
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,2824.23,education,67.0,Department of Higher Education,,,Transfer to National Clean Energy Fund(NCEF) - Grid Interactive Renewable Power
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,2824.23,education,67.0,Department of Higher Education,,,Transfer to National Clean Energy Fund(NCEF) - Grid Interactive Renewable Power
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,2819.84,other,91.0,Department of Space,,,Space Technology
